"날짜","종가","시가","고가","저가","변동 %"
"2000- 10- 01","5.787","5.787","5.787","5.787","-1.72%"
"2000- 09- 01","5.888","5.888","5.888","5.888","3.94%"
"2000- 08- 01","5.665","5.665","5.665","5.665","-2.04%"
"2000- 07- 01","5.783","5.783","5.783","5.783","-1.95%"
"2000- 06- 01","5.898","5.898","5.898","5.898","-1.70%"
"2000- 05- 01","6.000","6.000","6.000","6.000","0.60%"
"2000- 04- 01","5.964","5.964","5.964","5.964","2.28%"
"2000- 03- 01","5.831","5.831","5.831","5.831","-4.96%"
"2000- 02- 01","6.135","6.135","6.135","6.135","-5.44%"
"2000- 01- 01","6.488","6.488","6.488","6.488","0.09%"
"1999- 12- 01","6.482","6.482","6.482","6.482","3.09%"
"1999- 11- 01","6.288","6.288","6.288","6.288","1.98%"
"1999- 10- 01","6.166","6.166","6.166","6.166","1.93%"
"1999- 09- 01","6.049","6.049","6.049","6.049","-0.28%"
"1999- 08- 01","6.066","6.066","6.066","6.066","-0.67%"
"1999- 07- 01","6.107","6.107","6.107","6.107","2.40%"
"1999- 06- 01","5.964","5.964","5.964","5.964","2.30%"
"1999- 05- 01","5.830","5.830","5.830","5.830","2.97%"
"1999- 04- 01","5.662","5.662","5.662","5.662","0.66%"
"1999- 03- 01","5.625","5.625","5.625","5.625","0.81%"
"1999- 02- 01","5.580","5.580","5.580","5.580","9.67%"
"1999- 01- 01","5.088","5.088","5.088","5.088","-0.16%"
"1998- 12- 01","5.096","5.096","5.096","5.096","0.43%"
"1998- 11- 01","5.074","5.074","5.074","5.074","-1.53%"
"1998- 10- 01","5.153","5.153","5.153","5.153","3.52%"
"1998- 09- 01","4.978","4.978","4.978","4.978","-5.33%"
"1998- 08- 01","5.258","5.258","5.258","5.258","-7.96%"
"1998- 07- 01","5.713","5.713","5.713","5.713","1.47%"
"1998- 06- 01","5.630","5.630","5.630","5.630","-2.96%"
"1998- 05- 01","5.802","5.802","5.802","5.802","-4.59%"
"1998- 04- 01","6.081","6.081","6.081","6.081","2.46%"
"1998- 03- 01","5.935","5.935","5.935","5.935","0.15%"
"1998- 02- 01","5.926","5.926","5.926","5.926","2.05%"
"1998- 01- 01","5.807","5.807","5.807","5.807","-1.91%"
"1997- 12- 01","5.920","5.920","5.920","5.920","-2.33%"
"1997- 11- 01","6.061","6.061","6.061","6.061","-1.32%"
"1997- 10- 01","6.142","6.142","6.142","6.142","-4.00%"
"1997- 09- 01","6.398","6.398","6.398","6.398","-3.18%"
"1997- 08- 01","6.608","6.608","6.608","6.608","4.91%"
"1997- 07- 01","6.299","6.299","6.299","6.299","-7.19%"
"1997- 06- 01","6.787","6.787","6.787","6.787","-1.75%"
"1997- 05- 01","6.908","6.908","6.908","6.908","-0.73%"
"1997- 04- 01","6.959","6.959","6.959","6.959","-1.96%"
"1997- 03- 01","7.098","7.098","7.098","7.098","4.32%"
"1997- 02- 01","6.804","6.804","6.804","6.804","0.27%"
"1997- 01- 01","6.786","6.786","6.786","6.786","2.14%"
"1996- 12- 01","6.644","6.644","6.644","6.644","4.48%"
"1996- 11- 01","6.359","6.359","6.359","6.359","-4.30%"
"1996- 10- 01","6.645","6.645","6.645","6.645","-4.02%"
"1996- 09- 01","6.923","6.923","6.923","6.923","-2.77%"
"1996- 08- 01","7.120","7.120","7.120","7.120","2.05%"
"1996- 07- 01","6.977","6.977","6.977","6.977","1.19%"
"1996- 06- 01","6.895","6.895","6.895","6.895","-1.33%"
"1996- 05- 01","6.988","6.988","6.988","6.988","1.10%"
"1996- 04- 01","6.912","6.912","6.912","6.912","3.57%"
"1996- 03- 01","6.674","6.674","6.674","6.674","3.20%"
"1996- 02- 01","6.467","6.467","6.467","6.467","7.30%"
"1996- 01- 01","6.027","6.027","6.027","6.027","1.31%"
"1995- 12- 01","5.949","5.949","5.949","5.949","-2.98%"
"1995- 11- 01","6.132","6.132","6.132","6.132","-3.16%"
"1995- 10- 01","6.332","6.332","6.332","6.332","-2.69%"
"1995- 09- 01","6.507","6.507","6.507","6.507","-2.15%"
"1995- 08- 01","6.650","6.650","6.650","6.650","-2.83%"
"1995- 07- 01","6.844","6.844","6.844","6.844","3.35%"
"1995- 06- 01","6.622","6.622","6.622","6.622","-0.44%"
"1995- 05- 01","6.651","6.651","6.651","6.651","-9.36%"
"1995- 04- 01","7.338","7.338","7.338","7.338","-1.28%"
"1995- 03- 01","7.433","7.433","7.433","7.433","-0.15%"
"1995- 02- 01","7.444","7.444","7.444","7.444","-3.29%"
"1995- 01- 01","7.697","7.697","7.697","7.697","-2.35%"
"1994- 12- 01","7.882","7.882","7.882","7.882","-1.48%"
"1994- 11- 01","8.000","8.000","8.000","8.000","0.30%"
"1994- 10- 01","7.976","7.976","7.976","7.976","2.05%"
"1994- 09- 01","7.816","7.816","7.816","7.816","4.88%"
"1994- 08- 01","7.452","7.452","7.452","7.452","0.78%"
"1994- 07- 01","7.394","7.394","7.394","7.394","-2.90%"
"1994- 06- 01","7.615","7.615","7.615","7.615","2.42%"
"1994- 05- 01","7.435","7.435","7.435","7.435","1.78%"
"1994- 04- 01","7.305","7.305","7.305","7.305","3.09%"
"1994- 03- 01","7.086","7.086","7.086","7.086","6.38%"
"1994- 02- 01","6.661","6.661","6.661","6.661","6.76%"
"1994- 01- 01","6.239","6.239","6.239","6.239","-1.61%"
"1993- 12- 01","6.341","6.341","6.341","6.341","0.68%"
"1993- 11- 01","6.298","6.298","6.298","6.298","5.55%"
"1993- 10- 01","5.967","5.967","5.967","5.967","-0.98%"
"1993- 09- 01","6.026","6.026","6.026","6.026","-1.10%"
"1993- 08- 01","6.093","6.093","6.093","6.093","-7.13%"
"1993- 07- 01","6.561","6.561","6.561","6.561","-1.69%"
"1993- 06- 01","6.674","6.674","6.674","6.674","-4.29%"
"1993- 05- 01","6.973","6.973","6.973","6.973","0.66%"
"1993- 04- 01","6.927","6.927","6.927","6.927","0.03%"
"1993- 03- 01","6.925","6.925","6.925","6.925","0.48%"
"1993- 02- 01","6.892","6.892","6.892","6.892","-4.22%"
"1993- 01- 01","7.196","7.196","7.196","7.196","-2.73%"
"1992- 12- 01","7.398","7.398","7.398","7.398","-2.53%"
"1992- 11- 01","7.590","7.590","7.590","7.590","-0.50%"
"1992- 10- 01","7.628","7.628","7.628","7.628","3.40%"
"1992- 09- 01","7.377","7.377","7.377","7.377","-0.43%"
"1992- 08- 01","7.409","7.409","7.409","7.409","-0.38%"
"1992- 07- 01","7.437","7.437","7.437","7.437","-4.41%"
"1992- 06- 01","7.780","7.780","7.780","7.780","-0.70%"
"1992- 05- 01","7.835","7.835","7.835","7.835","-2.50%"
"1992- 04- 01","8.036","8.036","8.036","8.036","0.97%"
"1992- 03- 01","7.959","7.959","7.959","7.959","2.10%"
"1992- 02- 01","7.795","7.795","7.795","7.795","0.48%"
"1992- 01- 01","7.758","7.758","7.758","7.758","4.89%"
"1991- 12- 01","7.396","7.396","7.396","7.396","-6.78%"
"1991- 11- 01","7.934","7.934","7.934","7.934","0.44%"
"1991- 10- 01","7.899","7.899","7.899","7.899","1.13%"
"1991- 09- 01","7.811","7.811","7.811","7.811","-3.07%"
"1991- 08- 01","8.058","8.058","8.058","8.058","-3.42%"
"1991- 07- 01","8.343","8.343","8.343","8.343","-0.77%"
"1991- 06- 01","8.408","8.408","8.408","8.408","1.68%"
"1991- 05- 01","8.269","8.269","8.269","8.269","1.01%"
"1991- 04- 01","8.186","8.186","8.186","8.186","-0.70%"
"1991- 03- 01","8.244","8.244","8.244","8.244","0.41%"
"1991- 02- 01","8.210","8.210","8.210","8.210","0.13%"
"1991- 01- 01","8.199","8.199","8.199","8.199","-0.64%"
"1990- 12- 01","8.252","8.252","8.252","8.252","-1.80%"
"1990- 11- 01","8.403","8.403","8.403","8.403","-4.08%"
"1990- 10- 01","8.760","8.760","8.760","8.760","-2.09%"
"1990- 09- 01","8.947","8.947","8.947","8.947","-0.46%"
"1990- 08- 01","8.988","8.988","8.988","8.988","6.78%"
"1990- 07- 01","8.417","8.417","8.417","8.417","0.10%"
"1990- 06- 01","8.409","8.409","8.409","8.409","-2.19%"
"1990- 05- 01","8.597","8.597","8.597","8.597","-4.49%"
"1990- 04- 01","9.001","9.001","9.001","9.001","4.19%"
"1990- 03- 01","8.639","8.639","8.639","8.639","1.05%"
"1990- 02- 01","8.549","8.549","8.549","8.549","1.09%"
"1990- 01- 01","8.457","8.457","8.457","8.457","5.73%"
"1989- 12- 01","7.999","7.999","7.999","7.999","1.30%"
"1989- 11- 01","7.896","7.896","7.896","7.896","-0.27%"
"1989- 10- 01","7.917","7.917","7.917","7.917","-3.94%"
"1989- 09- 01","8.242","8.242","8.242","8.242","0.48%"
"1989- 08- 01","8.203","8.203","8.203","8.203","3.52%"
"1989- 07- 01","7.924","7.924","7.924","7.924","-1.59%"
"1989- 06- 01","8.052","8.052","8.052","8.052","-6.35%"
"1989- 05- 01","8.598","8.598","8.598","8.598","-3.46%"
"1989- 04- 01","8.906","8.906","8.906","8.906","-2.20%"
"1989- 03- 01","9.106","9.106","9.106","9.106","-0.38%"
"1989- 02- 01","9.141","9.141","9.141","9.141","3.42%"
"1989- 01- 01","8.839","8.839","8.839","8.839","-1.80%"
"1988- 12- 01","9.001","9.001","9.001","9.001","-0.83%"
"1988- 11- 01","9.076","9.076","9.076","9.076","3.89%"
"1988- 10- 01","8.736","8.736","8.736","8.736","-2.73%"
"1988- 09- 01","8.981","8.981","8.981","8.981","-3.53%"
"1988- 08- 01","9.310","9.310","9.310","9.310","0.92%"
"1988- 07- 01","9.225","9.225","9.225","9.225","4.15%"
"1988- 06- 01","8.857","8.857","8.857","8.857","-4.78%"
"1988- 05- 01","9.302","9.302","9.302","9.302","2.43%"
"1988- 04- 01","9.081","9.081","9.081","9.081","3.35%"
"1988- 03- 01","8.787","8.787","8.787","8.787","5.13%"
"1988- 02- 01","8.358","8.358","8.358","8.358","-0.98%"
