"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 13","73,400","73,400","73,400","73,400","","0.00%"
"2020- 12- 11","73,400","73,500","73,800","73,100","18.42M","0.69%"
"2020- 12- 10","72,900","72,800","73,800","72,500","0.99K","-1.35%"
"2020- 12- 09","73,900","72,100","73,900","72,100","5.79K","3.07%"
"2020- 12- 08","71,700","72,300","72,900","71,600","4.53K","-1.65%"
"2020- 12- 07","72,900","72,400","73,500","72,000","6.47K","1.96%"
"2020- 12- 06","71,500","71,500","71,500","71,500","","0.00%"
"2020- 12- 04","71,500","70,400","72,100","70,100","27.84M","2.58%"
"2020- 12- 03","69,700","69,500","70,500","69,300","0.22K","0.29%"
"2020- 12- 02","69,500","68,400","69,900","68,300","27.83M","2.51%"
"2020- 12- 01","67,800","67,200","68,300","67,100","0.26K","1.65%"
"2020- 11- 30","66,700","68,400","68,600","66,700","39.86M","-2.20%"
"2020- 11- 29","68,200","68,200","68,200","68,200","","0.00%"
"2020- 11- 27","68,200","68,000","68,400","67,600","13.93M","0.29%"
"2020- 11- 26","68,000","66,300","68,000","66,100","2.15K","2.10%"
"2020- 11- 25","66,600","67,800","68,300","66,500","6.03K","-1.62%"
"2020- 11- 24","67,700","67,800","69,400","67,000","2.23K","0.30%"
"2020- 11- 23","67,500","64,800","67,800","64,800","1.02K","4.33%"
"2020- 11- 22","64,700","64,700","64,700","64,700","","0.00%"
"2020- 11- 20","64,700","63,900","65,200","63,900","14.84M","0.15%"
"2020- 11- 19","64,600","64,200","64,800","63,900","2.15K","-0.31%"
"2020- 11- 18","64,800","65,700","66,100","64,700","3.61K","-1.37%"
"2020- 11- 17","65,700","66,900","66,900","65,700","18.63K","-0.90%"
"2020- 11- 16","66,300","63,900","66,600","63,900","8.20K","4.91%"
"2020- 11- 15","63,200","63,200","63,200","63,200","","0.00%"
"2020- 11- 13","63,200","61,300","63,200","61,000","31.31M","3.61%"
"2020- 11- 12","61,000","60,900","61,400","60,700","0.55K","-0.49%"
